Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,Lithuania,0,0,0,0
2020-01-04,Lithuania,0,0,0,0
2020-01-05,Lithuania,0,0,0,0
2020-01-06,Lithuania,0,0,0,0
2020-01-07,Lithuania,0,0,0,0
2020-01-08,Lithuania,0,0,0,0
2020-01-09,Lithuania,0,0,0,0
2020-01-10,Lithuania,0,0,0,0
2020-01-11,Lithuania,0,0,0,0
2020-01-12,Lithuania,0,0,0,0
2020-01-13,Lithuania,0,0,0,0
2020-01-14,Lithuania,0,0,0,0
2020-01-15,Lithuania,0,0,0,0
2020-01-16,Lithuania,0,0,0,0
2020-01-17,Lithuania,0,0,0,0
2020-01-18,Lithuania,0,0,0,0
2020-01-19,Lithuania,0,0,0,0
2020-01-20,Lithuania,0,0,0,0
2020-01-21,Lithuania,0,0,0,0
2020-01-22,Lithuania,0,0,0,0
2020-01-23,Lithuania,0,0,0,0
2020-01-24,Lithuania,0,0,0,0
2020-01-25,Lithuania,0,0,0,0
2020-01-26,Lithuania,0,0,0,0
2020-01-27,Lithuania,0,0,0,0
2020-01-28,Lithuania,0,0,0,0
2020-01-29,Lithuania,0,0,0,0
2020-01-30,Lithuania,0,0,0,0
2020-01-31,Lithuania,0,0,0,0
2020-02-01,Lithuania,0,0,0,0
2020-02-02,Lithuania,0,0,0,0
2020-02-03,Lithuania,0,0,0,0
2020-02-04,Lithuania,0,0,0,0
2020-02-05,Lithuania,0,0,0,0
2020-02-06,Lithuania,0,0,0,0
2020-02-07,Lithuania,0,0,0,0
2020-02-08,Lithuania,0,0,0,0
2020-02-09,Lithuania,0,0,0,0
2020-02-10,Lithuania,0,0,0,0
2020-02-11,Lithuania,0,0,0,0
2020-02-12,Lithuania,0,0,0,0
2020-02-13,Lithuania,0,0,0,0
2020-02-14,Lithuania,0,0,0,0
2020-02-15,Lithuania,0,0,0,0
2020-02-16,Lithuania,0,0,0,0
2020-02-17,Lithuania,0,0,0,0
2020-02-18,Lithuania,0,0,0,0
2020-02-19,Lithuania,0,0,0,0
2020-02-20,Lithuania,0,0,0,0
2020-02-21,Lithuania,0,0,0,0
2020-02-22,Lithuania,0,0,0,0
2020-02-23,Lithuania,0,0,0,0
2020-02-24,Lithuania,0,0,0,0
2020-02-25,Lithuania,0,0,0,0
2020-02-26,Lithuania,0,0,0,0
2020-02-27,Lithuania,0,0,0,0
2020-02-28,Lithuania,0,0,0,0
2020-02-29,Lithuania,0,0,0,0
2020-03-01,Lithuania,0,0,0,0
2020-03-02,Lithuania,0,0,0,0
2020-03-03,Lithuania,0,0,0,0
2020-03-04,Lithuania,0,0,0,0
2020-03-05,Lithuania,0,0,0,0
2020-03-06,Lithuania,0,0,0,0
2020-03-07,Lithuania,0,0,0,0
2020-03-08,Lithuania,0,0,0,0
2020-03-09,Lithuania,0,0,0,0
2020-03-10,Lithuania,0,0,0,0
2020-03-11,Lithuania,0,0,0,0
2020-03-12,Lithuania,0,0,0,0
2020-03-13,Lithuania,0,0,0,0
2020-03-14,Lithuania,0,0,0,0
2020-03-15,Lithuania,0,0,0,0
2020-03-16,Lithuania,0,0,0,0
2020-03-17,Lithuania,0,0,0,0
2020-03-18,Lithuania,0,0,0,0
2020-03-19,Lithuania,0,0,0,0
2020-03-20,Lithuania,0,0,0,0
2020-03-21,Lithuania,7,7,0,0
2020-03-22,Lithuania,22,29,0,0
2020-03-23,Lithuania,28,57,0,0
2020-03-24,Lithuania,30,87,1,1
2020-03-25,Lithuania,24,111,1,2
2020-03-26,Lithuania,55,166,1,3
2020-03-27,Lithuania,16,182,1,4
2020-03-28,Lithuania,44,226,0,4
2020-03-29,Lithuania,36,262,0,4
2020-03-30,Lithuania,17,279,0,4
2020-03-31,Lithuania,73,352,0,4
2020-04-01,Lithuania,44,396,2,6
2020-04-02,Lithuania,73,469,0,6
2020-04-03,Lithuania,58,527,0,6
2020-04-04,Lithuania,43,570,1,7
2020-04-05,Lithuania,46,616,1,8
2020-04-06,Lithuania,31,647,2,10
2020-04-07,Lithuania,40,687,1,11
2020-04-08,Lithuania,33,720,0,11
2020-04-09,Lithuania,50,770,0,11
2020-04-10,Lithuania,38,808,1,12
2020-04-11,Lithuania,39,847,1,13
2020-04-12,Lithuania,33,880,1,14
2020-04-13,Lithuania,19,899,1,15
2020-04-14,Lithuania,6,905,1,16
2020-04-15,Lithuania,18,923,4,20
2020-04-16,Lithuania,27,950,0,20
2020-04-17,Lithuania,26,976,1,21
2020-04-18,Lithuania,49,1025,1,22
2020-04-19,Lithuania,93,1118,1,23
2020-04-20,Lithuania,21,1139,3,26
2020-04-21,Lithuania,26,1165,0,26
2020-04-22,Lithuania,22,1187,1,27
2020-04-23,Lithuania,18,1205,0,27
2020-04-24,Lithuania,16,1221,1,28
2020-04-25,Lithuania,13,1234,1,29
2020-04-26,Lithuania,11,1245,2,31
2020-04-27,Lithuania,15,1260,1,32
2020-04-28,Lithuania,2,1262,0,32
2020-04-29,Lithuania,29,1291,0,32
2020-04-30,Lithuania,19,1310,0,32
2020-05-01,Lithuania,6,1316,0,32
2020-05-02,Lithuania,4,1320,1,33
2020-05-03,Lithuania,7,1327,0,33
2020-05-04,Lithuania,7,1334,0,33
2020-05-05,Lithuania,4,1338,0,33
2020-05-06,Lithuania,7,1345,1,34
2020-05-07,Lithuania,4,1349,1,35
2020-05-08,Lithuania,11,1360,0,35
2020-05-09,Lithuania,25,1385,0,35
2020-05-10,Lithuania,14,1399,1,36
2020-05-11,Lithuania,9,1408,0,36
2020-05-12,Lithuania,9,1417,3,39
2020-05-13,Lithuania,13,1430,0,39
2020-05-14,Lithuania,9,1439,0,39
2020-05-15,Lithuania,12,1451,2,41
2020-05-16,Lithuania,14,1465,1,42
2020-05-17,Lithuania,10,1475,1,43
2020-05-18,Lithuania,6,1481,2,45
2020-05-19,Lithuania,12,1493,0,45
2020-05-20,Lithuania,16,1509,1,46
2020-05-21,Lithuania,15,1524,0,46
2020-05-22,Lithuania,12,1536,0,46
2020-05-23,Lithuania,11,1547,1,47
2020-05-24,Lithuania,10,1557,1,48
2020-05-25,Lithuania,6,1563,1,49
2020-05-26,Lithuania,7,1570,2,51
2020-05-27,Lithuania,5,1575,0,51
2020-05-28,Lithuania,10,1585,1,52
2020-05-29,Lithuania,7,1592,0,52
2020-05-30,Lithuania,9,1601,2,54
2020-05-31,Lithuania,4,1605,0,54
2020-06-01,Lithuania,6,1611,1,55
2020-06-02,Lithuania,3,1614,0,55
2020-06-03,Lithuania,3,1617,0,55
2020-06-04,Lithuania,5,1622,0,55
2020-06-05,Lithuania,8,1630,0,55
2020-06-06,Lithuania,13,1643,0,55
2020-06-07,Lithuania,6,1649,1,56
2020-06-08,Lithuania,6,1655,2,58
2020-06-09,Lithuania,5,1660,0,58
2020-06-10,Lithuania,18,1678,0,58
2020-06-11,Lithuania,8,1686,0,58
2020-06-12,Lithuania,5,1691,1,59
2020-06-13,Lithuania,2,1693,0,59
2020-06-14,Lithuania,8,1701,0,59
2020-06-15,Lithuania,4,1705,1,60
2020-06-16,Lithuania,1,1706,0,60
2020-06-17,Lithuania,5,1711,0,60
2020-06-18,Lithuania,8,1719,0,60
2020-06-19,Lithuania,2,1721,0,60
2020-06-20,Lithuania,6,1727,0,60
2020-06-21,Lithuania,3,1730,0,60
2020-06-22,Lithuania,1,1731,0,60
2020-06-23,Lithuania,2,1733,1,61
2020-06-24,Lithuania,1,1734,0,61
2020-06-25,Lithuania,1,1735,0,61
2020-06-26,Lithuania,3,1738,0,61
2020-06-27,Lithuania,7,1745,0,61
2020-06-28,Lithuania,0,1745,0,61
2020-06-29,Lithuania,0,1745,0,61
2020-06-30,Lithuania,2,1747,0,61
2020-07-01,Lithuania,5,1752,0,61
2020-07-02,Lithuania,4,1756,1,62
2020-07-03,Lithuania,4,1760,0,62
2020-07-04,Lithuania,6,1766,0,62
2020-07-05,Lithuania,5,1771,0,62
2020-07-06,Lithuania,3,1774,0,62
